PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz
2122842,20030929182200,-43.2859,172.9231,49,85,12,318,78,175,4.8,4.5,8.04E+022,20,3,63,-871.4,-93.31,101.68,692.18,-109,179.21,76,-885.49,12,275,722.27,77,71,163.22,5,183
3631755,20111223173700,-43.6638,172.8397,254,80,163,347,73,10,5.1,4.9,2.51E+023,4,11,45,1338.52,2015.8,-1043.79,-918.97,-465.9,-419.55,82,2908.3,19,210,-796.56,70,44,-2111.74,5,301
